order_book_id,trading_hours,market_tplus,symbol,exchange,abbrev_symbol,round_lot,type,de_listed_date,listed_date,status
921342.INDX,,0.0,大湾区高质发展(全)HKD,,DWQGZFZQHKD,1.0,INDX,0000-00-00,2019-10-18,Active
921343.INDX,,0.0,大湾区价值蓝筹(全),,DWQJZLCQ,1.0,INDX,0000-00-00,2019-10-18,Active
921344.INDX,,0.0,大湾区价值蓝筹(全)HKD,,DWQJZLCQHKD,1.0,INDX,0000-00-00,2019-10-18,Active
921345.INDX,,0.0,大湾区红利低波(全),,DWQHLDBQ,1.0,INDX,0000-00-00,2019-10-18,Active
921346.INDX,,0.0,大湾区红利低波(全)HKD,,DWQHLDBQHKD,1.0,INDX,0000-00-00,2019-10-18,Active
921347.INDX,,0.0,大湾区科技领先(全),,DWQKJLXQ,1.0,INDX,0000-00-00,2019-10-18,Active
921348.INDX,,0.0,大湾区科技领先(全)HKD,,DWQKJLXQHKD,1.0,INDX,0000-00-00,2019-10-18,Active
921349.INDX,,0.0,大湾区先进制造(全),,DWQXJZZQ,1.0,INDX,0000-00-00,2019-10-18,Active
921350.INDX,,0.0,大湾区先进制造(全)HKD,,DWQXJZZQHKD,1.0,INDX,0000-00-00,2019-10-18,Active
921351.INDX,,0.0,大湾区消费升级(全),,DWQXFSJQ,1.0,INDX,0000-00-00,2019-10-18,Active
921352.INDX,,0.0,大湾区消费升级(全)HKD,,DWQXFSJQHKD,1.0,INDX,0000-00-00,2019-10-18,Active
921353.INDX,,0.0,CS科技全收益,,CSKJQSY,1.0,INDX,0000-00-00,2019-11-15,Active
921354.INDX,,0.0,CS消费全收益,,CSXFQSY,1.0,INDX,0000-00-00,2019-11-15,Active
921355.INDX,,0.0,CS周期全收益,,CSZQQSY,1.0,INDX,0000-00-00,2019-11-15,Active
921356.INDX,,0.0,民企创新全收益,,MQCXQSY,1.0,INDX,0000-00-00,2019-11-15,Active
921357.INDX,,0.0,优选消费50(全),,YXXF50Q,1.0,INDX,0000-00-00,2019-11-15,Active
921358.INDX,,0.0,优选消费50(全)HKD,,YXXF50QHKD,1.0,INDX,0000-00-00,2019-11-15,Active
921371.INDX,,0.0,品牌消费100全收益,,PPXF100QSY,1.0,INDX,0000-00-00,2019-11-25,Active
921372.INDX,,0.0,浙江国资全收益,,ZJGZQSY,1.0,INDX,0000-00-00,2019-12-09,Active
921373.INDX,,0.0,股息龙头全收益,,GXLTQSY,1.0,INDX,0000-00-00,2019-11-15,Active
921374.INDX,,0.0,交银理财长三角全收益,,JYLCCSJQSY,1.0,INDX,0000-00-00,2019-10-22,Active
921375.INDX,,0.0,300质量低波全收益,,300ZLDBQSY,1.0,INDX,0000-00-00,2019-11-25,Active
921376.INDX,,0.0,泰康红利LV全收益,,TKHLLVQSY,1.0,INDX,0000-00-00,2019-11-28,Active
921377.INDX,,0.0,经济成长全收益,,JJCZQSY,1.0,INDX,0000-00-00,2019-12-26,Active
921378.INDX,,0.0,AH经济成长(全),,AHJJCZQ,1.0,INDX,0000-00-00,2019-12-26,Active
921379.INDX,,0.0,AH经济成长(全)HKD,,AHJJCZQHKD,1.0,INDX,0000-00-00,2019-12-26,Active
921380.INDX,,0.0,科技50全收益,,KJ50QSY,1.0,INDX,0000-00-00,2019-11-25,Active
921381.INDX,,0.0,中证长三角全收益,,ZZCSJQSY,1.0,INDX,0000-00-00,2019-11-25,Active
921382.INDX,,0.0,智选300ESG领先全收益,,ZX300ESGLXQSY,1.0,INDX,0000-00-00,2019-11-25,Active
921383.INDX,,0.0,CS医药50全收益,,CSYY50QSY,1.0,INDX,0000-00-00,2019-12-26,Active
921384.INDX,,0.0,300美元对冲2全收益,,300MYDC2QSY,1.0,INDX,0000-00-00,2019-11-15,Active
921385.INDX,,0.0,500美元对冲2全收益,,500MYDC2QSY,1.0,INDX,0000-00-00,2019-11-15,Active
921386.INDX,,0.0,1000美元对冲2全收益,,1000MYDC2QSY,1.0,INDX,0000-00-00,2019-11-15,Active
