,id,last_price,name,,,
345,002921.XSHE,15.27,联诚精密,,,
282,603172.XSHG,15.24,万丰股份,,,
367,300675.XSHE,15.24,建科院,,,
219,300823.XSHE,15.21,建科智能,,,
195,001202.XSHE,15.2,炬申股份,,,
203,002857.XSHE,15.11,三晖电气,,,
301,688026.XSHG,15.1,洁特生物,,,
61,300535.XSHE,14.99,达威股份,,,
311,003042.XSHE,14.9,中农联合,,,
165,300651.XSHE,14.85,金陵体育,,,
256,603159.XSHG,14.74,上海亚虹,,,
238,688517.XSHG,14.71,金冠电气,,,
110,300877.XSHE,14.68,金春股份,,,
252,301006.XSHE,14.68,迈拓股份,,,
37,002816.XSHE,14.64,和科达,,,
283,605287.XSHG,14.63,德才股份,,,
291,688096.XSHG,14.57,京源环保,,,
42,688511.XSHG,14.52,天微电子,,,
281,300845.XSHE,14.47,捷安高科,,,
200,603356.XSHG,14.31,华菱精工,,,
245,301027.XSHE,14.3,华蓝集团,,,
375,688184.XSHG,14.27,帕瓦股份,,,
113,688350.XSHG,14.25,富淼科技,,,
148,002718.XSHE,14.16,友邦吊顶,,,
49,688296.XSHG,14.14,和达科技,,,
80,301057.XSHE,14.01,汇隆新材,,,
199,301156.XSHE,13.91,美农生物,,,
25,300854.XSHE,13.9,中兰环保,,,
53,301167.XSHE,13.87,建研设计,,,
323,300519.XSHE,13.81,新光药业,,,
151,002830.XSHE,13.79,名雕股份,,,
383,301519.XSHE,13.77,舜禹股份,,,
24,688156.XSHG,13.71,路德环境,,,
118,300478.XSHE,13.6,杭州高新,,,
331,603329.XSHG,13.56,上海雅仕,,,
34,301288.XSHE,13.5,清研环境,,,
368,603679.XSHG,13.49,华体科技,,,
26,688681.XSHG,13.39,科汇股份,,,
52,300912.XSHE,13.39,凯龙高科,,,
225,605189.XSHG,13.39,富春染织,,,
340,300721.XSHE,13.29,怡达股份,,,
391,301126.XSHE,13.01,达嘉维康,,,
56,300970.XSHE,12.91,华绿生物,,,
140,301037.XSHE,12.85,保立佳,,,
335,603685.XSHG,12.8,晨丰科技,,,
122,301125.XSHE,12.66,腾亚精工,,,
243,002858.XSHE,12.5,力盛体育,,,
258,300871.XSHE,12.45,回盛生物,,,
248,603182.XSHG,12.42,嘉华股份,,,
91,300649.XSHE,12.4,杭州园林,,,
2,688021.XSHG,12.37,奥福环保,,,
264,603810.XSHG,12.36,丰山集团,,,
46,688670.XSHG,12.35,金迪克,,,
78,000004.XSHE,12.26,国华网安,,,
218,300564.XSHE,12.25,筑博设计,,,
184,300958.XSHE,12.24,建工修复,,,
82,688679.XSHG,12.18,通源环境,,,
280,603151.XSHG,12.15,邦基科技,,,
77,300417.XSHE,12.1,南华仪器,,,
145,002963.XSHE,12.08,豪尔赛,,,
156,002633.XSHE,12.02,申科股份,,,
314,688455.XSHG,11.99,科捷智能,,,
160,002780.XSHE,11.98,三夫户外,,,
221,688310.XSHG,11.97,迈得医疗,,,
261,688616.XSHG,11.66,西力科技,,,
40,603709.XSHG,11.64,中源家居,,,
228,605122.XSHG,11.64,四方新材,,,
157,300614.XSHE,11.58,百川畅银,,,
230,688718.XSHG,11.57,唯赛勃,,,
295,603041.XSHG,11.51,美思德,,,
133,600697.XSHG,11.47,欧亚集团,,,
290,603137.XSHG,11.47,恒尚节能,,,
138,001366.XSHE,11.42,播恩集团,,,
209,300500.XSHE,11.4,启迪设计,,,
216,605303.XSHG,11.36,园林股份,,,
217,002144.XSHE,11.34,宏达高科,,,
360,300518.XSHE,11.34,新迅达,,,
107,002800.XSHE,11.32,天顺股份,,,
170,301198.XSHE,11.31,喜悦智行,,,
125,300716.XSHE,11.21,泉为科技,,,
111,002883.XSHE,11.12,中设股份,,,
229,002826.XSHE,11,易明医药,,,
74,300635.XSHE,10.95,中达安,,,
158,002890.XSHE,10.94,弘宇股份,,,
380,300778.XSHE,10.94,新城市,,,
222,300626.XSHE,10.9,华瑞股份,,,
70,002058.XSHE,10.89,威尔泰,,,
187,300106.XSHE,10.8,西部牧业,,,
341,300371.XSHE,10.8,汇中股份,,,
8,605081.XSHG,10.64,太和水,,,
146,002898.XSHE,10.62,赛隆药业,,,
73,688485.XSHG,10.53,九州一轨,,,
302,688203.XSHG,10.5,海正生材,,,
394,300610.XSHE,10.49,晨化股份,,,
152,003003.XSHE,10.39,天元股份,,,
161,300462.XSHE,10.35,华铭智能,,,
220,603506.XSHG,10.35,南都物业,,,
356,002136.XSHE,10.26,安纳达,,,
32,300948.XSHE,10.24,冠中生态,,,
215,000586.XSHE,10.24,汇源通信,,,
374,002871.XSHE,10.13,伟隆股份,,,
10,300736.XSHE,10.07,百邦科技,,,
171,002205.XSHE,10.07,国统股份,,,
274,603331.XSHG,9.99,百达精工,,,
131,002910.XSHE,9.96,庄园牧场,,,
129,688619.XSHG,9.95,罗普特,,,
339,600099.XSHG,9.93,林海股份,,,
223,301081.XSHE,9.87,严牌股份,,,
18,600768.XSHG,9.82,宁波富邦,,,
87,688528.XSHG,9.8,秦川物联,,,
180,300517.XSHE,9.62,海波重科,,,
326,002968.XSHE,9.58,新大正,,,
269,603332.XSHG,9.57,苏州龙杰,,,
